movie,production_budget,worldwide_gross,profit_percent,genres,release_year,month,tconst
Pirates of the Caribbean: On Stranger Tides,410600000,1045663875,154.67,"['Action', 'Adventure', 'Fantasy']",2011,5,tt1298650
Dark Phoenix,350000000,149762350,-57.21,"['Action', 'Adventure', 'Sci-Fi']",2019,6,tt6565702
Avengers: Age of Ultron,330600000,1403013963,324.38,"['Action', 'Adventure', 'Sci-Fi']",2015,5,tt2395427
Avengers: Infinity War,300000000,2048134200,582.71,"['Action', 'Adventure', 'Sci-Fi']",2018,4,tt4154756
Justice League,300000000,655945209,118.65,"['Action', 'Adventure', 'Fantasy']",2017,11,tt0974015
Spectre,300000000,879620923,193.21,"['Action', 'Adventure', 'Thriller']",2015,11,tt2379713
The Dark Knight Rises,275000000,1084439099,294.34,"['Action', 'Thriller']",2012,7,tt1345836
Solo: A Star Wars Story,275000000,393151347,42.96,"['Action', 'Adventure', 'Fantasy']",2018,5,tt3778644
The Lone Ranger,275000000,260002115,-5.45,"['Action', 'Adventure', 'Western']",2013,7,tt1210819
John Carter,275000000,282778100,2.83,"['Action', 'Adventure', 'Sci-Fi']",2012,3,tt0401729
Tangled,260000000,586477240,125.57,"['Adventure', 'Animation', 'Comedy']",2010,11,tt0398286
Captain America: Civil War,250000000,1140069413,356.03,"['Action', 'Adventure', 'Sci-Fi']",2016,5,tt3498820
Batman v Superman: Dawn of Justice,250000000,867500281,247.0,"['Action', 'Adventure', 'Fantasy']",2016,3,tt2975590
The Hobbit: An Unexpected Journey,250000000,1017003568,306.8,"['Adventure', 'Family', 'Fantasy']",2012,12,tt0903624
The Hobbit: The Desolation of Smaug,250000000,960366855,284.15,"['Adventure', 'Fantasy']",2013,12,tt1170358
The Hobbit: The Battle of the Five Armies,250000000,945577621,278.23,"['Adventure', 'Fantasy']",2014,12,tt2310332
The Fate of the Furious,250000000,1234846267,393.94,"['Action', 'Crime', 'Thriller']",2017,4,tt4630562
Pirates of the Caribbean: Dead Men Tell No Tales,230000000,788241137,242.71,"['Action', 'Adventure', 'Fantasy']",2017,5,tt1790809
The Avengers,225000000,1517935897,574.64,"['Action', 'Adventure', 'Sci-Fi']",2012,5,tt0848228
Man of Steel,225000000,667999518,196.89,"['Action', 'Adventure', 'Sci-Fi']",2013,6,tt0770828
The Amazing Spider-Man,220000000,757890267,244.5,"['Action', 'Adventure', 'Sci-Fi']",2012,7,tt0948470
Battleship,220000000,313477717,42.49,"['Action', 'Adventure', 'Sci-Fi']",2012,5,tt1440129
Transformers: The Last Knight,217000000,602893340,177.83,"['Action', 'Adventure', 'Sci-Fi']",2017,6,tt3371366
Jurassic World,215000000,1648854864,666.91,"['Action', 'Adventure', 'Sci-Fi']",2015,6,tt0369610
Men in Black 3,215000000,654213485,204.29,"['Action', 'Adventure', 'Comedy']",2012,5,tt1409024
Transformers: Age of Extinction,210000000,1104039076,425.73,"['Action', 'Adventure', 'Sci-Fi']",2014,6,tt2109248
Robin Hood,210000000,322459006,53.55,"['Action', 'Adventure', 'Drama']",2010,5,tt0955308
Robin Hood,99000000,84747441,-14.4,"['Action', 'Adventure', 'Thriller']",2018,11,tt4532826
Black Panther,200000000,1348258224,574.13,"['Action', 'Adventure', 'Sci-Fi']",2018,2,tt1825683
Incredibles 2,200000000,1242520711,521.26,"['Action', 'Adventure', 'Animation']",2018,6,tt3606756
Rogue One: A Star Wars Story,200000000,1049102856,424.55,"['Action', 'Adventure', 'Sci-Fi']",2016,12,tt3748528
Finding Dory,200000000,1021215193,410.61,"['Adventure', 'Animation', 'Comedy']",2016,6,tt2277860
Toy Story 3,200000000,1068879522,434.44,"['Adventure', 'Animation', 'Comedy']",2010,6,tt0435761
Iron Man 3,200000000,1215392272,507.7,"['Action', 'Adventure', 'Sci-Fi']",2013,5,tt1300854
Guardians of the Galaxy Vol 2,200000000,862316233,331.16,"['Action', 'Adventure', 'Comedy']",2017,5,tt3896198
Alice in Wonderland,200000000,1025491110,412.75,"['Adventure', 'Family', 'Fantasy']",2010,3,tt1014759
Skyfall,200000000,1110526981,455.26,"['Action', 'Adventure', 'Thriller']",2012,11,tt1074638
Monsters University,200000000,743588329,271.79,"['Adventure', 'Animation', 'Comedy']",2013,6,tt1453405
Oz the Great and Powerful,200000000,490359051,145.18,"['Adventure', 'Family', 'Fantasy']",2013,3,tt1623205
X-Men: Days of Future Past,200000000,747862775,273.93,"['Action', 'Adventure', 'Sci-Fi']",2014,5,tt1877832
The Amazing Spider-Man 2,200000000,708996336,254.5,"['Action', 'Adventure', 'Sci-Fi']",2014,5,tt1872181
Cars 2,200000000,560155383,180.08,"['Adventure', 'Animation', 'Comedy']",2011,6,tt1216475
Tron: Legacy,200000000,400062763,100.03,"['Action', 'Adventure', 'Fantasy']",2010,12,tt1104001
Fantastic Beasts: The Crimes of Grindelwald,200000000,652220086,226.11,"['Adventure', 'Family', 'Fantasy']",2018,11,tt4123430
Green Lantern,200000000,219535492,9.77,"['Action', 'Adventure', 'Sci-Fi']",2011,6,tt1133985
Transformers: Dark of the Moon,195000000,1123790543,476.3,"['Action', 'Adventure', 'Sci-Fi']",2011,6,tt1399103
The Mummy,195000000,409953905,110.23,"['Action', 'Adventure', 'Fantasy']",2017,6,tt2345759
Jack the Giant Slayer,195000000,197687603,1.38,"['Adventure', 'Fantasy']",2013,3,tt1351685
Furious 7,190000000,1518722794,699.33,"['Action', 'Crime', 'Thriller']",2015,4,tt2820852
Star Trek Into Darkness,190000000,467381584,145.99,"['Action', 'Adventure', 'Sci-Fi']",2013,5,tt1408101
World War Z,190000000,531514650,179.74,"['Action', 'Adventure', 'Horror']",2013,6,tt0816711
The Great Gatsby,190000000,351040419,84.76,"['Drama', 'Romance']",2013,5,tt1343092
Pacific Rim,190000000,411002906,116.32,"['Action', 'Adventure', 'Sci-Fi']",2013,7,tt1663662
The Good Dinosaur,187500000,333771037,78.01,"['Adventure', 'Animation', 'Comedy']",2015,11,tt1979388
Brave,185000000,554606532,199.79,"['Adventure', 'Animation', 'Comedy']",2012,6,tt1217209
Kong: Skull Island,185000000,561072059,203.28,"['Action', 'Adventure', 'Fantasy']",2017,3,tt3731562
Star Trek Beyond,185000000,335802233,81.51,"['Action', 'Adventure', 'Sci-Fi']",2016,7,tt2660888
Blade Runner 2049,185000000,259357408,40.19,"['Drama', 'Mystery', 'Sci-Fi']",2017,10,tt1856101
Aladdin,182000000,619234314,240.24,"['Adventure', 'Comedy', 'Family']",2019,5,tt6139732
Thor: Ragnarok,180000000,846980024,370.54,"['Action', 'Adventure', 'Comedy']",2017,11,tt3501632
Maleficent,180000000,758536735,321.41,"['Action', 'Adventure', 'Family']",2014,5,tt1587310
Fantastic Beasts and Where to Find Them,180000000,802402853,345.78,"['Adventure', 'Family', 'Fantasy']",2016,11,tt3183660
The Legend of Tarzan,180000000,348902025,93.83,"['Action', 'Adventure', 'Drama']",2016,7,tt0918940
Hugo,180000000,180047784,0.03,"['Adventure', 'Drama', 'Family']",2011,11,tt0970179
Valerian and the City of a Thousand Planets,180000000,215098356,19.5,"['Action', 'Adventure', 'Fantasy']",2017,7,tt2239822
Jupiter Ascending,179000000,181982519,1.67,"['Action', 'Adventure', 'Sci-Fi']",2015,2,tt1617661
X-Men: Apocalypse,178000000,542537546,204.8,"['Action', 'Adventure', 'Sci-Fi']",2016,5,tt3385516
The Meg,178000000,529530715,197.49,"['Action', 'Horror', 'Sci-Fi']",2018,8,tt4779682
Edge of Tomorrow,178000000,370541256,108.17,"['Action', 'Sci-Fi']",2014,6,tt1631867
Captain Marvel,175000000,1123061550,541.75,"['Action', 'Adventure', 'Sci-Fi']",2019,3,tt4154664
The Jungle Book,175000000,962854547,450.2,"['Adventure', 'Drama', 'Family']",2016,4,tt3040964
Inside Out,175000000,854235992,388.13,"['Adventure', 'Animation', 'Comedy']",2015,6,tt2096673
Spider-Man: Homecoming,175000000,880166350,402.95,"['Action', 'Adventure', 'Sci-Fi']",2017,7,tt2250912
Suicide Squad,175000000,746059887,326.32,"['Action', 'Adventure', 'Fantasy']",2016,8,tt1386697
Coco,175000000,798008101,356.0,"['Adventure', 'Animation', 'Comedy']",2017,11,tt2380307
Ralph Breaks The Internet,175000000,524283695,199.59,"['Adventure', 'Animation', 'Comedy']",2018,11,tt5848272
Cars 3,175000000,383541369,119.17,"['Adventure', 'Animation', 'Comedy']",2017,6,tt3606752
King Arthur: Legend of the Sword,175000000,139630336,-20.21,"['Action', 'Adventure', 'Drama']",2017,5,tt1972591
47 Ronin,175000000,151716815,-13.3,"['Action', 'Adventure', 'Drama']",2013,12,tt1335975
Jurassic World: Fallen Kingdom,170000000,1305772799,668.1,"['Action', 'Adventure', 'Sci-Fi']",2018,6,tt4881806
Guardians of the Galaxy,170000000,770867516,353.45,"['Action', 'Adventure', 'Comedy']",2014,8,tt2015381
Iron Man 2,170000000,621156389,265.39,"['Action', 'Adventure', 'Sci-Fi']",2010,5,tt1228705
Captain America: The Winter Soldier,170000000,714401889,320.24,"['Action', 'Adventure', 'Sci-Fi']",2014,4,tt1843866
Dawn of the Planet of the Apes,170000000,710644566,318.03,"['Action', 'Adventure', 'Drama']",2014,7,tt2103281
Snow White and the Huntsman,170000000,401021746,135.9,"['Action', 'Adventure', 'Drama']",2012,6,tt1735898
Dumbo,170000000,345004422,102.94,"['Adventure', 'Family', 'Fantasy']",2019,3,tt3861390
Tomorrowland,170000000,206627518,21.55,"['Action', 'Adventure', 'Family']",2015,5,tt1964418
Alita: Battle Angel,170000000,402976036,137.04,"['Action', 'Adventure', 'Sci-Fi']",2019,2,tt0437086
Godzilla: King of the Monsters,170000000,299276941,76.05,"['Action', 'Adventure', 'Fantasy']",2019,5,tt3741700
Alice Through the Looking Glass,170000000,276928112,62.9,"['Adventure', 'Family', 'Fantasy']",2016,5,tt2567026
Shrek Forever After,165000000,756244673,358.33,"['Adventure', 'Animation', 'Comedy']",2010,5,tt0892791
Doctor Strange,165000000,676404566,309.94,"['Action', 'Adventure', 'Fantasy']",2016,11,tt1211837
Big Hero 6,165000000,652127828,295.23,"['Action', 'Adventure', 'Animation']",2014,11,tt2245084
How to Train Your Dragon,165000000,494870992,199.92,"['Action', 'Adventure', 'Animation']",2010,3,tt0892769
Wreck-It Ralph,165000000,496511521,200.92,"['Adventure', 'Animation', 'Comedy']",2012,11,tt1772341
Interstellar,165000000,666379375,303.87,"['Adventure', 'Drama', 'Sci-Fi']",2014,11,tt0816692
Independence Day: Resurgence,165000000,384169424,132.83,"['Action', 'Adventure', 'Sci-Fi']",2016,6,tt1628841
Beauty and the Beast,160000000,1259199706,687.0,"['Family', 'Fantasy', 'Musical']",2017,3,tt2771200
Aquaman,160000000,1146894640,616.81,"['Action', 'Adventure', 'Fantasy']",2018,12,tt1477834
Inception,160000000,835524642,422.2,"['Action', 'Adventure', 'Sci-Fi']",2010,7,tt1375666
The Hunger Games: Mockingjay - Part 2,160000000,648986787,305.62,"['Action', 'Adventure', 'Sci-Fi']",2015,11,tt1951266
Godzilla,160000000,529076069,230.67,"['Action', 'Adventure', 'Sci-Fi']",2014,5,tt0831387
X-Men: First Class,160000000,355408305,122.13,"['Action', 'Adventure', 'Sci-Fi']",2011,6,tt1270798
The Sorcerer's Apprentice,160000000,217986320,36.24,"['Action', 'Adventure', 'Family']",2010,7,tt0963966
Warcraft,160000000,425522281,165.95,"['Action', 'Adventure', 'Fantasy']",2016,6,tt0803096
Deepwater Horizon,156000000,122603824,-21.41,"['Action', 'Drama', 'History']",2016,9,tt1860357
The Chronicles of Narnia: The Voyage of the Dawn Treader,155000000,418186950,169.8,"['Adventure', 'Family', 'Fantasy']",2010,12,tt0980970
Terminator: Genisys,155000000,432150894,178.81,"['Action', 'Adventure', 'Sci-Fi']",2015,7,tt1340138
Pacific Rim: Uprising,155000000,290930148,87.7,"['Action', 'Adventure', 'Sci-Fi']",2018,3,tt2557478
War for the Planet of the Apes,152000000,489592267,222.1,"['Action', 'Adventure', 'Drama']",2017,7,tt3450958
Wonder Woman,150000000,821133378,447.42,"['Action', 'Adventure', 'Fantasy']",2017,6,tt0451279
Frozen,150000000,1272469910,748.31,"['Adventure', 'Animation', 'Comedy']",2013,11,tt2294629
Zootopia,150000000,1019429616,579.62,"['Adventure', 'Animation', 'Comedy']",2016,3,tt2948356
Moana,150000000,637517365,325.01,"['Adventure', 'Animation', 'Comedy']",2016,11,tt3521164
